"Name","Gross Export","Share","Code","Sector"
"Live animals","16397631","0.02032447708310212","01","Agriculture"
"Meat","88361725","0.10952227518632855","02","Agriculture"
"Fish","747210988","0.9261504056194515","03","Agriculture"
"Diary products","752127747","0.9322446124971789","04","Agriculture"
"Animal products","9230199","0.011440614076995152","05","Agriculture"
"Plants","33967340","0.04210171721780652","06","Agriculture"
"Vegetables","217556791","0.2696565139777043","07","Agriculture"
"Fruits and nuts","968694344","1.200673804353729","08","Agriculture"
"Coffee, tea and spices","32703814","0.04053560652590818","09","Agriculture"
"Cereals","152693182","0.18925959965222666","10","Agriculture"
"Flours, starches and malts","24562688","0.030444872759692387","11","Agriculture"
"Oil seeds and oleaginous fruits","98892786","0.12257527704710042","12","Agriculture"
"Lac and other vegetable extracts","12653109","0.015683230333728888","13","Agriculture"
"Other vegetable materials","614097","0.0007611587553898342","14","Agriculture"
"Animal or vegetable fats, oils or waxes","786275945","0.9745704989426193","15","Agriculture"
"Preparations of meat or fish","56523610","0.0700596821637956","16","Agriculture"
"Sugar and candy","81370613","0.10085695666382977","17","Agriculture"
"Cocoa","39975702","0.049548940281673594","18","Agriculture"
"Preparations of cereals, flour, starch or milk","304328007","0.3772073907516056","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","1101343259","1.3650890075630133","20","Agriculture"
"Miscellaneous edible preparations","297907713","0.3692495876842126","21","Agriculture"
"Beverages","273013130","0.33839333889578194","22","Agriculture"
"Food residues and animal feed","103002843","0.12766959581221615","23","Agriculture"
"Tobacco","569392456","0.7057485269221653","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","708317746","0.8779431489909456","25","Minerals"
"Ores, slag and ash","179132507","0.22203051973545018","26","Minerals"
"Mineral fuels, oils and waxes","12149498155","15.059016562971136","27","Minerals"
"Inorganic chemicals","257653514","0.31935545693604955","28","Chemicals"
"Organic chemicals","68867236","0.08535931561446805","29","Chemicals"
"Pharmaceutical products","1737409588","2.153478228365298","30","Chemicals"
"Fertilisers","151627339","0.18793851237884643","31","Chemicals"
"Dyes, paints, inks, etc.","275152620","0.34104518631657865","32","Chemicals"
"Essential oils","276115129","0.3422381935328515","33","Chemicals"
"Soaps, waxes, and paints","158898488","0.19695093016153228","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","13680967","0.016957236095029603","35","Chemicals"
"Explosives","9232832","0.011443877618427438","36","Chemicals"
"Photographic or cinematographic goods","8023241","0.009944618087619202","37","Chemicals"
"Miscellaneous chemical products","319632747","0.39617725520293007","38","Chemicals"
"Plastics","1314584846","1.6293969279050327","39","Chemicals"
"Rubber","52186862","0.0646843852479674","40","Chemicals"
"Leather and skins","33994325","0.042135164489189046","41","Agriculture"
"Articles of leather","31773060","0.039381958883574625","42","Agriculture"
"Furskins","187591293","0.232514985583466","43","Agriculture"
"Wood","82547462","0.10231563325746523","44","Agriculture"
"Cork","467251","0.0005791465999909711","45","Agriculture"
"Manufactues of plaiting materials","360736","0.000447123768369341","46","Agriculture"
"Pulp of wood","53665337","0.0665169201583724","47","Agriculture"
"Paper and paperboard","356231415","0.44154044144843485","48","Agriculture"
"Products of the printing industry","78047268","0.09673774887755002","49","Agriculture"
"Silk","677493","0.0008397366029557626","50","Textiles"
"Wool","4929360","0.0061098255201839985","51","Textiles"
"Cotton","429385249","0.5322128942359172","52","Textiles"
"Other vegetable textile fibres","1588915","0.0019694226870026047","53","Textiles"
"Man-made filaments","90615198","0.11231540184870369","54","Textiles"
"Man-made staple fibres","38109490","0.04723581449989388","55","Textiles"
"Wadding, felt and nonwovens","137650647","0.17061473211744302","56","Textiles"
"Carpets","15740696","0.01951022163653257","57","Textiles"
"Special woven fabrics","16183463","0.020059020895684936","58","Textiles"
"Impregnated, coated or laminated textile fabrics","9843775","0.01220112706516652","59","Textiles"
"Knitted fabrics","109050693","0.13516576332123248","60","Textiles"
"Apparel, knit","417060387","0.5169365183209209","61","Textiles"
"Apparel, not knit","199891143","0.2477603597140702","62","Textiles"
"Other made up textile articles","60300067","0.07474051159286499","63","Textiles"
"Footwear","125255136","0.15525078843235582","64","Textiles"
"Headgear","3367200","0.00417356502498571","65","Textiles"
"Umbrellas and walking-sticks","2164748","0.0026831541163898093","66","Textiles"
"Feathers and down","505719","0.0006268267791847079","67","Textiles"
"Articles of stone, plaster, cement, etc.","263166655","0.3261888652442625","68","Stone"
"Ceramic products","39390285","0.048823329710210035","69","Stone"
"Glass and glassware","43507388","0.05392638182623039","70","Stone"
"Precious metals and stones","118331526","0.1466691370476322","71","Stone"
"Iron and steel","872055158","1.08089181138251","72","Metals"
"Articles of iron or steel","724028910","0.8974167664096361","73","Metals"
"Copper","759075388","0.9408560497399197","74","Metals"
"Nickel","331284","0.00041061870864141304","75","Metals"
"Aluminium","1884204539","2.3354271097320396","76","Metals"
"Lead","43562970","0.05399527440499576","78","Metals"
"Zinc","4771677","0.005914381158745765","79","Metals"
"Tin","378895","0.0004696314208071872","80","Metals"
"Other base metals","2913499","0.0036112133305805537","81","Metals"
"Metal tools and tableware","266266290","0.33003078975905864","82","Metals"
"Miscellaneous articles of base metal","139410645","0.17279620815000563","83","Metals"
"Industrial Machinery","1557127307","1.9300225908604733","84","Machinery"
"Electrical machinery and equipment","1124996017","1.3944060435374879","85","Electronics"
"Trains","2923719","0.0036238807796644674","86","Vehicles"
"Vehicles","223344839","0.27683066303203385","87","Vehicles"
"Aircraft","31487902","0.03902851226460489","88","Vehicles"
"Ships","335861012","0.4162918071214974","89","Vehicles"
"Apparatuses (optical, medical, etc.)","322298563","0.39948147129364264","90","Machinery"
"Clocks","62946622","0.07802085412811714","91","Machinery"
"Musical instruments","2515066","0.003117365019342691","92","Machinery"
"Arms and ammunition","32980022","0.04087795983085628","93","Machinery"
"Furniture","177473555","0.21997428783792997","94","Textiles"
"Toys","298964636","0.37055961882786403","95","Machinery"
"Miscellaneous manufactured articles","19890442","0.024653733981559404","96","Machinery"
"Art","31749931","0.0393532910332946","97","Textiles"
"Other","698226240","0.8654349651910426","99","Other"
"Travel and tourism","20481611776","25.386474983264744","travel","Services"
"Transport","21324466176","26.4311731434558","transport","Services"
"ICT","1191960320","1.4774067185563005","ict","Services"
"Insurance and finance","661196672","0.8195376885531446","financial","Services"